Date,Rate,High (est),Low (est)
2017-07-31,25.57200050354,25.840000152588,25.576999664307
2017-07-28,25.712999343872,25.909999847412,25.653999328613
2017-07-27,25.423999786377,25.909999847412,25.458000183105
2017-07-26,25.579000473022,25.889999389648,25.589000701904
2017-07-25,25.558000564575,25.842500686646,25.562999725342
2017-07-24,25.566999435425,25.805000305176,25.528999328613
2017-07-21,25.371999740601,25.879999160767,25.382999420166
2017-07-20,25.711000442505,25.920000076294,25.687000274658
2017-07-19,25.673000335693,25.950000762939,25.687000274658
2017-07-18,25.650999069214,25.930000305176,25.658000946045
2017-07-17,25.621000289917,25.940000534058,25.611999511719
2017-07-14,25.721000671387,26.030000686646,25.712999343872
2017-07-13,25.743000030518,25.989999771118,25.731000900269
2017-07-12,25.537000656128,25.920000076294,25.517000198364
2017-07-10,25.809999465942,25.997499465942,25.808000564575
2017-07-07,26.040000915527,26.040000915527,25.694000244141
2017-07-06,25.768999099731,26.075000762939,25.77799987793
2017-07-05,25.780000686646,26.104999542236,25.752000808716
2017-07-04,25.743999481201,26.040000915527,25.722999572754
2017-07-03,25.767999649048,25.965000152588,25.715999603271
2017-06-30,25.756999969482,26.069999694824,25.761999130249
2017-06-29,25.771999359131,26.120000839233,25.771999359131
2017-06-28,25.638000488281,26.069999694824,25.638000488281
2017-06-27,25.777000427246,26.094999313354,25.778999328613
2017-06-26,25.701000213623,26.059999465942,25.690999984741
2017-06-23,25.784000396729,26.030000686646,25.790000915527
2017-06-22,25.708000183105,26.023000717163,25.711000442505
2017-06-21,25.812999725342,26.02499961853,25.805999755859
2017-06-20,25.889999389648,26.0,25.77499961853
2017-06-19,25.764999389648,25.745000839233,25.69700050354
2017-06-16,25.746000289917,25.777000427246,25.764999389648
2017-06-15,25.752000808716,25.746000289917,25.725999832153
2017-06-14,25.732999801636,25.752000808716,25.731000900269
2017-06-13,25.798000335693,25.812000274658,25.742000579834
2017-06-12,25.846000671387,25.836000442505,25.752000808716
2017-06-09,25.961000442505,25.982000350952,25.885999679565
2017-06-08,25.823999404907,25.889999389648,25.83099937439
2017-06-07,25.910999298096,25.933000564575,25.927000045776
2017-06-06,25.982999801636,25.989999771118,25.979000091553
2017-06-05,25.858999252319,26.013000488281,25.870000839233
2017-06-02,26.041000366211,26.270000457764,26.003999710083
2017-06-01,25.981000900269,26.264999389648,25.985000610352
2017-05-31,25.983999252319,26.307500839233,26.013000488281
2017-05-30,26.14999961853,26.35000038147,26.229999542236
2017-05-29,26.221000671387,26.389999389648,26.236000061035
2017-05-26,26.027000427246,26.389999389648,26.023000717163
2017-05-25,25.934000015259,26.284999847412,25.90299987793
2017-05-24,26.163000106812,26.267499923706,26.16900062561
2017-05-23,26.052000045776,26.299999237061,26.055000305176
2017-05-22,25.989000320435,26.066999435425,26.0
2017-05-19,26.232999801636,26.351499557495,26.20599937439
2017-05-18,26.020000457764,26.389999389648,26.04700088501
2017-05-17,26.066999435425,26.409999847412,26.068000793457
2017-05-16,26.153999328613,26.420000076294,26.141000747681
2017-05-15,26.061000823975,26.430000305176,26.070999145508
2017-05-12,26.170000076294,26.459999084473,26.163000106812
2017-05-11,26.187000274658,26.409999847412,26.145000457764
2017-05-10,26.283000946045,26.440000534058,26.249000549316
2017-05-09,26.292999267578,26.280000686646,26.211999893188
2017-05-08,26.129999160767,26.233999252319,26.214000701904
2017-05-05,26.087999343872,26.228000640869,26.090000152588
2017-05-04,26.312000274658,26.469999313354,26.222999572754
2017-05-03,26.243000030518,26.510000228882,26.225999832153
2017-05-02,26.358999252319,26.341999053955,26.268999099731
2017-05-01,26.372999191284,26.349000930786,26.349000930786
2017-04-28,26.329999923706,26.34700012207,26.291000366211
2017-04-27,26.274000167847,26.545000076294,26.264999389648
2017-04-26,26.233999252319,26.590000152588,26.232000350952
2017-04-25,26.385999679565,26.60000038147,26.334999084473
2017-04-24,26.388000488281,26.709999084473,26.031000137329
2017-04-21,26.570999145508,26.879999160767,26.443000793457
2017-04-20,26.545999526978,26.739999771118,26.535999298096
2017-04-19,26.377000808716,26.739999771118,26.381999969482
2017-04-18,26.569000244141,26.819999694824,26.559000015259
2017-04-17,26.65299987793,26.659000396729,26.621999740601
2017-04-14,26.840000152588,26.645000457764,26.645000457764
2017-04-13,26.85000038147,26.840000152588,26.402000427246
2017-04-12,26.879999160767,26.85000038147,26.608999252319
2017-04-11,26.870000839233,26.879999160767,26.600999832153
2017-04-10,26.777000427246,26.930000305176,26.666999816895
2017-04-07,26.777000427246,26.930000305176,26.666999816895
2017-04-06,26.930000305176,27.0,26.930000305176
2017-04-05,27.0,27.030000686646,27.0
2017-04-04,27.030000686646,27.129999160767,26.860000610352
